GPST,Latitude,Longitude,Height
2024/02/14 04:23:23.00,27.681976521,85.319219159,1259.9728
2024/02/14 04:23:24.00,27.682058645,85.319250594,1267.5803
2024/02/14 04:23:25.00,27.68203118,85.319257945,1255.5122
2024/02/14 04:23:26.00,27.682012554,85.319224153,1258.1956
2024/02/14 04:23:27.00,27.681960457,85.319211762,1247.9294
2024/02/14 04:23:28.00,27.682006431,85.319253139,1261.3429
2024/02/14 04:23:29.00,27.681987812,85.319241212,1248.4642
2024/02/14 04:23:30.00,27.682034307,85.319247677,1254.924
2024/02/14 04:23:31.00,27.682003354,85.319229554,1252.5271
2024/02/14 04:23:32.00,27.682024489,85.319226056,1266.0287
2024/02/14 04:23:33.00,27.682051197,85.319250377,1266.0068
2024/02/14 04:23:34.00,27.682026163,85.319227073,1266.2476
2024/02/14 04:23:35.00,27.681987491,85.319244753,1248.1432
2024/02/14 04:23:36.00,27.682053172,85.319241492,1263.0487
2024/02/14 04:23:37.00,27.68203235,85.31924677,1253.1395
2024/02/14 04:23:38.00,27.68195551,85.319212656,1246.6966
2024/02/14 04:23:39.00,27.682028356,85.319266181,1260.0829
2024/02/14 04:23:40.00,27.682002559,85.319237039,1258.302
2024/02/14 04:23:41.00,27.681981879,85.319240199,1247.1268
2024/02/14 04:23:42.00,27.682005574,85.319231123,1257.0093
2024/02/14 04:23:43.00,27.682007009,85.319244671,1260.4926
2024/02/14 04:23:44.00,27.682037002,85.319251237,1265.4654
2024/02/14 04:23:45.00,27.681985833,85.319216861,1260.4784
2024/02/14 04:23:46.00,27.681987956,85.319211126,1262.2276
2024/02/14 04:23:47.00,27.681989457,85.319206439,1260.6324
2024/02/14 04:23:48.00,27.682043358,85.319251446,1264.8388
2024/02/14 04:23:49.00,27.682025665,85.319261163,1255.9684
2024/02/14 04:23:50.00,27.682023214,85.319219082,1265.1859
2024/02/14 04:23:51.00,27.682026711,85.319242927,1254.5073
2024/02/14 04:23:52.00,27.682040028,85.319246151,1263.9988
2024/02/14 04:23:53.00,27.682021368,85.319268546,1256.3389
2024/02/14 04:23:54.00,27.682041192,85.319243613,1263.2407
2024/02/14 04:23:55.00,27.681989224,85.319211263,1261.2944
2024/02/14 04:23:56.00,27.681999324,85.319228683,1256.4319
2024/02/14 04:23:57.00,27.682015983,85.319212462,1264.7202
2024/02/14 04:23:58.00,27.682043136,85.319237446,1264.8016
2024/02/14 04:23:59.00,27.682001862,85.319248365,1261.9292
2024/02/14 04:24:00.00,27.682032086,85.319252052,1266.6482
2024/02/14 04:24:01.00,27.682047158,85.319227562,1262.4502
2024/02/14 04:24:02.00,27.682040231,85.319226714,1261.3751
2024/02/14 04:24:03.00,27.681987986,85.319211308,1262.1991
2024/02/14 04:24:04.00,27.682005736,85.319235962,1260.7709
2024/02/14 04:24:05.00,27.68198886,85.319245906,1252.211
2024/02/14 04:24:06.00,27.681999282,85.319242403,1254.7187
2024/02/14 04:24:07.00,27.681992041,85.319241947,1250.7659
2024/02/14 04:24:08.00,27.681995827,85.319232934,1249.3527
2024/02/14 04:24:09.00,27.682010926,85.319221254,1257.5504
2024/02/14 04:24:10.00,27.681987539,85.319193733,1257.1291
